business_name,trade,city,site_url,phone,address,place_id
"JM Electric Inc.",electrician,Aurora, CO,https://jmelectricinc.com/%3Futm_campaign%3Dgmb%26utm_source%3Dgmb,+1 303-500-1362,"700 Billings St Ste R, Aurora, CO 80011",ChIJr-W3fRhjbIcRWKPsgtaYYD8
"Positively Charged Electric",electrician,Aurora, CO,https://www.positivelychargedelectric.com/%3Futm_source%3DGoogle%26utm_medium%3DOrganic,+1 720-327-4525,"6105 S Main St #200, Aurora, CO 80016",ChIJKf-qfuqLbIcR-YUeJBs-dJI
"Absolute Plumbing, Electrical, Heating & Air",electrician,Aurora, CO,https://absolutefix.com/service-area/denver/%3Futm_source%3Dgoogle-gbp%26utm_medium%3Dorganic%26utm_campaign%3D*4*absolute-electrical-commerce-city,+1 720-954-2939,"5590 Havana St Unit A, Denver, CO 80239",ChIJpykRU_RzbIcR24iynIvN_WU
"Salzano Services",electrician,Aurora, CO,https://salzanoelectric.com/denver-electrician/%3Futm_source%3Dgoogle%26utm_medium%3Dorganic%26utm_campaign%3Dgmb,+1 720-743-2726,"1600 Stout St Unit 462, Denver, CO 80202",ChIJJ80hNJ-Fa4cRhLYDRYLyHQo
"Applewood Plumbing Heating & Electric",electrician,Aurora, CO,https://www.applewoodfixit.com/,+1 303-444-1633,"5000 W 29th Ave, Denver, CO 80212",ChIJkWUJx22Ha4cRVVLq4AJk7Ng
"Mighty Plumbing Heating Air and Electric LLC.",electrician,Aurora, CO,https://www.mightyph.com/%3Futm_source%3DGBP%26utm_medium%3Dorganic,+1 720-782-0679,"4730 Paris St #100, Denver, CO 80239",ChIJO7qJOYpzbIcRjy-0lD8QN3w
"Table Mountain Electric Inc | Denver Electrician",electrician,Aurora, CO,https://tablemountainelectric.com/%3Futm_campaign%3Dgmb,+1 720-742-4233,"5160 Parfet St Unit B5, Wheat Ridge, CO 80033",ChIJwZX2jBiBa4cRVOTcScxv4Rw
"Sundog Electric LLC",electrician,Aurora, CO,http://sundogelectric.com/,+1 303-503-0081,"1501 W Campus Dr, Littleton, CO 80120",ChIJm-Bsk35_a4cRDGtXPA-iaB8
"JD Electrical Home Solutions",electrician,Aurora, CO,https://jdehs.com/%3Futm_source%3DGoogleBusinessProfile%26utm_medium%3Dorganic,+1 720-465-6451,"6145 Broadway Ste 67, Denver, CO 80216",ChIJQ9yftiVE9gkRsYMsm0yKSe8
"A Better Plumber (an Absolute Plumbing Company)",electrician,Aurora, CO,https://abetterplumberco.com/%3Futm_source%3Dgoogle-gbp%26utm_medium%3Dorganic%26utm_campaign%3D*2*a-better-plumber-denver,+1 720-579-8133,"3980 Quebec St #140, Denver, CO 80207",ChIJAeGy-L53bIcRVCD6yZOiGVU
