business_name,trade,city,site_url,phone,address,place_id
"Gardner Contracting, LLC",roofer,Aurora, CO,https://gardnercontracting.com/,+1 303-332-6224,"909 Telluride St, Aurora, CO 80011",ChIJ7YgsKLFjbIcRUQmOxy5yd9o
"Rocky Mountain Roofing and Exteriors",roofer,Aurora, CO,https://rmext.com/%3Futm_source%3Dgoogle%26utm_medium%3Dorganic%26utm_campaign%3Dgbp,+1 720-783-3257,"895 N Laredo St C, Aurora, CO 80011",ChIJMYganLd9bIcRE-MQGTQHGHk
"Jack the Roofer",roofer,Aurora, CO,https://www.jacktheroofer.com/,+1 720-722-2255,"9797 E Easter Ave # B, Centennial, CO 80112",ChIJR5oc0FCObIcRqKpn2AgTRLQ
"Roof Solutions CO",roofer,Aurora, CO,http://roofsolutionsco.com/,+1 720-789-8985,"6320 S Newbern Way, Aurora, CO 80016",ChIJd2w5EzqNbIcRPPbDbi5c8s8
"UB Code Roofing +",roofer,Aurora, CO,https://www.ubcoderoofing.com/,+1 303-225-4620,"938 Salida Way, Aurora, CO 80011",ChIJnTdxXatjbIcR0BCStffCFvI
"Hernandez & Sons Roofing",roofer,Aurora, CO,https://hernandezsonsroofing.com/aurora-co-2/,+1 720-679-5500,"18121 E Hampden Pl, Aurora, CO 80013",ChIJY5DGmFuJbIcR5vnf8HCANbQ
"Foothills Exteriors",roofer,Aurora, CO,http://www.foothillsfirst.com/,+1 720-484-1600,"1776 S Jackson St #520, Denver, CO 80210",ChIJQ2bQmql_bIcRTRRVdN6GYs0
"Affordable Roofing, Inc",roofer,Aurora, CO,https://www.affordableroofing.net/,+1 847-701-4820,"1500 Dearborn Ave No. 11, Aurora, IL 60505",ChIJbzML-F36DogRSuBdLkxf-D0
"Mighty Dog Roofing of Downtown Denver",roofer,Aurora, CO,https://www.mightydogroofing.com/downtown-denver-co,+1 720-796-9052,"3000 Lawrence St #145, Denver, CO 80205",ChIJsQQobZF5bIcRLTfd_6_Lwfc
"Colorado's Best Roofing",roofer,Aurora, CO,https://www.roofingcolorado.com/%3Futm_source%3Dgoogle%26utm_medium%3Dorganic%26utm_campaign%3Dgbp,+1 303-797-7663,"7348 S Alton Way Unit 9-I, Centennial, CO 80112",ChIJN6aYe7uBbIcR-Syk_VCuONU
