business_name,trade,city,site_url,phone,address,place_id
"Swartz Electric, LLC",electrician,Colorado Springs, CO,https://swartzelectric.biz/electrician-colorado-springs/%3Futm_source%3Dgoogle-gbp%26utm_medium%3Dorganic%26utm_campaign%3D*523*swartz-colorado-springs,+1 719-230-0372,"2345 Academy Pl #222, Colorado Springs, CO 80909",ChIJ-4A4pZ5FE4cRe2aQl1BAtaE
"Mister Sparky of Colorado Springs",electrician,Colorado Springs, CO,https://www.mistersparky.com/colorado-springs/,+1 719-249-3397,"80 Talamine Ct Unit 1, Colorado Springs, CO 80907",ChIJm7asIbJPE4cRZalYgph5Cfo
"Front Range Electric",electrician,Colorado Springs, CO,https://www.frontrangeelectric.com/,+1 719-321-4413,"6189 Lehman Dr #200, Colorado Springs, CO 80918",ChIJfdcq-xpPE4cRaRrKPddC9qg
"The Electric Way",electrician,Colorado Springs, CO,https://theelectricway.com/%3Futm_source%3Dgoogle%26utm_medium%3Dorganic%26utm_campaign%3DGMB,+1 719-231-7249,"3431 N Prospect St, Colorado Springs, CO 80907",ChIJzQCjShZOE4cRVjLX1WCnudQ
"DR Electric",electrician,Colorado Springs, CO,https://www.drelectricllc.com/,+1 719-232-3047,"2275 Waynoka Rd, Colorado Springs, CO 80915",ChIJMZ3OJNtaE4cRHmUjQ4lfYqw
"Gaddie Electric",electrician,Colorado Springs, CO,https://www.gaddieelectric.com/,+1 719-268-9433,"5855 N Academy Blvd #255, Colorado Springs, CO 80918",ChIJZ6ckbuNOE4cRoNGjV3yIUSQ
"WHITE RHINO ELECTRIC",electrician,Colorado Springs, CO,https://www.whiterhinoelectric.com/,+1 719-632-3232,"1425 Valley St Ste C, Colorado Springs, CO 80915",ChIJ2_MIMTQzE4cR-H1gOj4NPEc
"upGrade electric LLC",electrician,Colorado Springs, CO,http://www.upgradeelectricllc.com/,+1 719-649-6653,"16115 Gold Creek Dr, Monument, CO 80132",ChIJScB8UuizbIcRZ081AfBtpw4
"Awesome Home Services",electrician,Colorado Springs, CO,https://www.awesomeservice.com/%3Futm_source%3Dgooglebusinessprofile%26utm_medium%3Dorganic%26utm_campaign%3Dcoloradospringsgbp,+1 719-800-7121,"805 N Murray Blvd, Colorado Springs, CO 80915",ChIJGdxPyGiYyG8ROCwlAxvFGrA
"Around The Clock Heating, Air Conditioning, Plumbing & Electric",electrician,Colorado Springs, CO,https://callaroundtheclock.com/,+1 719-345-6247,"610 1st St, Colorado Springs, CO 80907",ChIJL_-ZeyZFE4cRid3JEaeuvBA
"One Source Home Service",electrician,Colorado Springs, CO,https://www.onesourcehomeservice.com/%3Futm_source%3Dgbp%26utm_medium%3Dorganic%26utm_campaign%3DGBP-OneSource-Interpark,+1 719-792-8021,"3740 Interpark Dr, Colorado Springs, CO 80907",ChIJv6vDh8lPE4cRyspf9iDASEM
"Peak Home Performance",electrician,Colorado Springs, CO,https://gowithpeak.com/%3Futm_source%3Dgoogle-gbp%26utm_medium%3Dorganic%26utm_campaign%3D*357*peak-home-colorado-springs,+1 719-358-6992,"1125 Newport Rd, Colorado Springs, CO 80916",ChIJf74h3mZGE4cRYd2hcStAPSo
"The Electricians",electrician,Colorado Springs, CO,https://www.theelectriciansco.com/%3Futm_source%3Dgoogle%26utm_medium%3Dorganic%26utm_campaign%3Dgbp,+1 720-633-5937,"7076 S Alton Way Ste H-200, Centennial, CO 80112",ChIJV7LSIPOPbIcRJVNX_bPNO4s
"Comfort By Design",electrician,Colorado Springs, CO,https://www.mycomfortbydesign.com/,+1 719-733-9640,"959 E Fillmore St, Colorado Springs, CO 80907",ChIJbWlkmnBPE4cREbfWwrOB_Bo
"Furnace World",electrician,Colorado Springs, CO,https://www.furnaceworld.com/,+1 719-473-9276,"3348 N El Paso St, Colorado Springs, CO 80907",ChIJo4d55pBPE4cR4qsuPWi4CFA
"Squeaks Services Plumbing, Heating, & Air",electrician,Colorado Springs, CO,https://squeaksservices.com/service-area/colorado-springs-co/%3Futm_source%3Dgoogle%26utm_medium%3Dorganic%26utm_campaign%3Dgmb,+1 303-280-5765,"3120 Beacon St, Colorado Springs, CO 80907",ChIJc9RKoPlPE4cRqkl4sJ_jBeQ
"Calibrating Air Heating & Cooling, Inc.",electrician,Colorado Springs, CO,https://calibratingair.com/,+1 719-491-2971,"4575 Galley Rd #100b, Colorado Springs, CO 80915",ChIJE9X9FL5FE4cR2cfmatLPrqw
"Cornerstone Auto Repair",electrician,Colorado Springs, CO,https://cornerstoneauto.repair/,+1 719-596-1516,"3747 E St Vrain St, Colorado Springs, CO 80909",ChIJEUA1XtFFE4cRwILvUE6_x00
"Advantage Heating and Cooling",electrician,Colorado Springs, CO,https://www.advantageheatingcs.com/%3Futm_source%3Dgoogle%26utm_medium%3Dorganic%26utm_campaign%3Dgbp,+1 719-493-9594,"3286 N El Paso St, Colorado Springs, CO 80907",ChIJb_T3Tu1PE4cRY8IPCK8Ywjs
"American Electrician",electrician,Colorado Springs, CO,https://theamericanelectrician.com/,+1 719-642-6987,"3407 N Prospect St, Colorado Springs, CO 80907",ChIJJc79SclEE4cRHOU8vAlIZLA
"Celtic Electric",electrician,Colorado Springs, CO,http://www.celticcolorado.com/,+1 719-659-4715,"415 Juanita St, Colorado Springs, CO 80909",ChIJudQHDpxFE4cRXr3yxavBshI
"A&E Electric",electrician,Colorado Springs, CO,https://aeelectricpro.com/,+1 719-203-1533,"9427 Tranquil Morning Terrace, Colorado Springs, CO 80925",ChIJ_QsNjvk_E4cReXtMpD-NgMA
"BudCo Electric",electrician,Colorado Springs, CO,http://www.budcoelectric.com/,+1 719-302-2850,"3336 N El Paso St, Colorado Springs, CO 80907",ChIJXTPMVZBPE4cRDkIh8JqVmKs
"Electrical Pros of Colorado LLC",electrician,Colorado Springs, CO,http://www.electricalprosofcolorado.com/,+1 719-453-5864,"2910 N Powers Blvd #454, Colorado Springs, CO 80922",ChIJJSQig2lHE4cRsPaMBx4uQbM
"CUSI Electric",electrician,Colorado Springs, CO,https://cusielectric.com/,+1 719-428-8245,"1120 W Moreno Ave, Colorado Springs, CO 80905",ChIJ05V9ohhFE4cRKaDMKlSjXgE
"Lenz Electric Inc",electrician,Colorado Springs, CO,http://lenzelectricinc.com/,+1 719-573-2700,"3514 E St Vrain St A, Colorado Springs, CO 80909",ChIJpbgjjNFFE4cRYSZlMUKCRA4
"WireNut Home Services",electrician,Colorado Springs, CO,https://thewirenut.com/%3Futm_source%3Dgoogle%26utm_medium%3Dgbp-col%26se_campaign%3DGBP-Colorado%2520Springs,+1 719-241-1834,"525 Babcock Rd, Colorado Springs, CO 80915",ChIJW6uO3f5GE4cRgS3aJzg1jR4
"Weatherby Electric",electrician,Colorado Springs, CO,http://www.weatherbyelectric.com/,+1 719-482-4756,"12243 St Annes Rd, Peyton, CO 80831",ChIJeT20ofM3E4cRQDQrPnj1jbo
