business_name,trade,city,site_url,phone,address,place_id
"House Doctors of Colorado Springs",handyman,Colorado Springs, CO,https://housedoctors.com/colorado-springs/,+1 719-356-4845,"3645 Jeannine Dr Ste 221, Colorado Springs, CO 80917",ChIJD6Vj4PxFE4cRliyRM5TFtgE
"HOMEfix",handyman,Colorado Springs, CO,https://homefixcos.com/,+1 719-749-1788,"5975 N Academy Blvd Ste 208, Colorado Springs, CO 80918",ChIJ-3nAw09JE4cRkYyLm3-oiOQ
"The Home Improvement Doctor",handyman,Colorado Springs, CO,https://www.home-improvement-doctor.com/%3Futm_source%3Dgoogle%26utm_medium%3Dwix_google_business_profile%26utm_campaign%3D16148987338678438801,+1 719-418-1848,"2214 Afton Way, Colorado Springs, CO 80909",ChIJc-u9UfVFE4cRoksYrUIIo3c
"Integrity Roofing and Painting",handyman,Colorado Springs, CO,https://integrityroofingandpainting.com/%3Futm_source%3Dgoogle%26utm_medium%3Dorganic%26utm_campaign%3Dgmb,+1 719-735-5971,"115 N Union Blvd, Colorado Springs, CO 80909",ChIJ95PzfMKtbIcRaH8J_PDQck4
"Fix Fellows",handyman,Colorado Springs, CO,http://fixfellows.com/,+1 719-319-3174,"2955 N New Center Point #1202, Colorado Springs, CO 80922",ChIJ_7yxfokz2GYRa-ybRSxTOrU
"Soto's Best Handyman Services",handyman,Colorado Springs, CO,https://www.sotosbesthandymanservices.com/,+1 562-448-4283,"8142 Misty Moon Dr, Colorado Springs, CO 80924",ChIJgZ3Gfp1JE4cRvyH5PsRhrjo
"True Craft Handyman",handyman,Colorado Springs, CO,https://truecrafthandymancolorado.com/,+1 719-726-2589,"17470 Shiloh Pines Dr, Monument, CO 80132",ChIJZyNLOTWHbIcR3dYQgNTbYxE
"House Hack Colorado Springs",handyman,Colorado Springs, CO,http://househackcoloradosprings.com/,+1 719-624-3472,"518 W Brookside St A, Colorado Springs, CO 80905",ChIJf22slSRLnCURpIA2iMxj6rY
"Colorado Springs Handyman",handyman,Colorado Springs, CO,https://www.coloradospringshandyman.net/,+1 719-626-4222,"1315 Sanderson Ave, Colorado Springs, CO 80915",ChIJyZOdmW5GE4cRN-DXfLz72sk
"Lionheart Construction",handyman,Colorado Springs, CO,http://startwithlionheart.com/,+1 719-213-1270,"637 Gillette St, Colorado Springs, CO 80903",ChIJoZk1-bhFE4cR7J9MduFAjk0
"Founder's Renovations",handyman,Colorado Springs, CO,https://foundersrenovations.base44.app/,+1 719-774-2247,"1131 Florence Ave, Colorado Springs, CO 80905",ChIJw55xuRJFE4cRtenc9qwEuwE
"Wickham's Workbench",handyman,Colorado Springs, CO,http://wickhamsworkbench.com/,+1 719-632-5117,"3604 Galley Rd, Colorado Springs, CO 80909",ChIJMd0PbttFE4cRSx-eA5kNkD4
"Cascade Drywall",handyman,Colorado Springs, CO,https://cascadedrywallinc.net/,+1 720-289-3854,"942 Tampico Ct, Colorado Springs, CO 80910",ChIJj4wN0Me4OasR5eoaOW7GOQI
"Colorado Building Supply - Colorado Springs",handyman,Colorado Springs, CO,http://coloradobuildingsupply.com/,+1 719-632-4675,"3131 N Nevada Ave, Colorado Springs, CO 80907",ChIJT-1rbY5PE4cRS_k9oAbuZlc
