business_name,trade,city,site_url,phone,address,place_id
"Peak To Peak Roofing & Exteriors, LLC",roofer,Denver, CO,https://peaktopeakroofing.com/,+1 720-740-4325,"4155 E Jewell Ave #1100, Denver, CO 80222",ChIJPXtnAuB9bIcRUw_jiC8hN4I
"Metro City Roofing",roofer,Denver, CO,https://metrocityroofing.com/contact/,+1 303-524-1000,"8354 E Northfield Blvd #3700, Denver, CO 80238",ChIJB6gwZs97bIcRc7ycIRvOXY8
"Sol Vista Roofing",roofer,Denver, CO,https://solvistaroofing.com/,+1 720-665-9868,"5855 E 45th Ave A-132, Denver, CO 80216",ChIJrbfrq1V7bIcRCxT8A3OZg1Y
"Integrity Pro Roofing | Denver Commercial Roofing",roofer,Denver, CO,https://integrityproroofing.com/,+1 303-968-9842,"1415 Park Ave W, Denver, CO 80205",ChIJhc9Is-p7bIcRHplRf3-kOvs
"Lifetime Roof & Solar - Denver",roofer,Denver, CO,https://mylifetimehome.com/services/residential-roofing-installations/,+1 303-335-6097,"9525 E 40th Ave Ste 160C, Denver, CO 80238",ChIJ53WLq9F5bIcRp45QbtSS_-k
"Elite Roofing & Solar",roofer,Denver, CO,https://www.elite-roofs.com/denver-roofers/%3Futm_source%3DGBP%26utm_medium%3DGoogle%26utm_campaign%3DGBP_Denver_Page,+1 303-296-0361,"5475 Peoria St #4-106, Denver, CO 80239",ChIJzyMLhKZ7bIcRaVEuTzRg54k
"Formula Roofing and Remodeling",roofer,Denver, CO,http://www.formularoofing.com/,+1 303-600-8696,"4560 Columbine St, Denver, CO 80216",ChIJi2KTJ3R5bIcRE2L1ATJCYgI
"Red Diamond Roofing",roofer,Denver, CO,https://reddiamondroof.com/service-areas/roofing-contractor-in-denver-colorado/%3FUTM_source%3DGMB_listing%26UTM_medium%3Dorganic,+1 303-529-7025,"7000 N Broadway Unit 101, Denver, CO 80221",ChIJY0VLWa93bIcRWL5KRAKMd6M
"covR Roofing + Exteriors",roofer,Denver, CO,https://covrco.com/,+1 844-613-7663,"229 Vallejo St, Denver, CO 80223",ChIJF4pJ8jB_bIcR6g92SYp0ivM
"730 South Exteriors & Roofing",roofer,Denver, CO,https://730southexteriors.com/%3Futm_source%3Dgoogle%26utm_medium%3Dorganic%26utm_campaign%3Dgmb,+1 303-698-0580,"2281 S Acoma St, Denver, CO 80223",ChIJK5IGUcp_bIcRc2nodnkcScM
