business_name,trade,city,site_url,phone,address,place_id
"Titus Electrical Services",electrician,Fort Collins, CO,https://www.tituselectricians.com/%3Futm_source%3Dgoogle%26utm_medium%3Dorganic%26utm_campaign%3Dfort-collins-gbp,+1 970-294-3111,"2001 S Shields St Unit H104, Fort Collins, CO 80526",ChIJe468WlNduiIR_MwxurG24Q0
"Luminous Electric, Heating, & Cooling",electrician,Fort Collins, CO,https://www.luminouselectricco.com/,+1 720-282-1790,"242 Linden St, Fort Collins, CO 80524",ChIJTQfCtJ5oM4sRbtiGy2zHXNs
"Eggers Electric",electrician,Fort Collins, CO,https://www.eggerselectric.com/%3Futm_campaign%3Dgmb%26utm_medium%3Dorganic%26utm_source%3Dgmblisting,+1 970-669-1883,"3520 W Eisenhower Blvd, Loveland, CO 80537",ChIJV8FWtYBRaYcRND-hgzg7tkE
"Sandbox Solar",electrician,Fort Collins, CO,http://www.sandboxsolar.com/,+1 970-673-7733,"112 Racquette Dr Unit C, Fort Collins, CO 80524",ChIJ5ytlBYlKaYcRK1oFF3psZYI
"Fort Collins Audio Video",electrician,Fort Collins, CO,https://www.fortcollinsaudiovideo.com/,+1 970-682-5323,"414 Bannock St, Fort Collins, CO 80524",ChIJx7B8DGK1bocREZeNJtkDUpA
"King Electric",electrician,Fort Collins, CO,https://kingelectricllc.com/%3Futm_source%3Dlocal%26utm_medium%3Dorganic%26utm_campaign%3Dgmb,+1 970-829-5464,"2580 E Harmony Rd Ste 301-22, Fort Collins, CO 80528",ChIJu6HbTkizbocRmeuvvnwZa8E
"PH Electric LLC",electrician,Fort Collins, CO,https://www.phelectricco.com/%3Futm_source%3Dgbp%26utm_medium%3Dorganic%26utm_campaign%3Dgbp-listing,+1 970-297-8010,"5839 Venus Ave, Fort Collins, CO 80525",ChIJq1fPrHNTl2sR-8IlEndEnEw
"Conduct All Electric",electrician,Fort Collins, CO,http://www.conductall.com/,+1 970-631-4148,"7352 Greenridge Rd Ste A4, Windsor, CO 80550",ChIJ0T_B-r6tbocRUy4ZWE25nEw
"Peterson Electric",electrician,Fort Collins, CO,https://petersonelectricllc.com/,+1 970-599-1872,"2355 Calcite St, Loveland, CO 80537",ChIJIe_NiTdTaYcRwpAybj7_UzA
"Mac Electric Company Inc",electrician,Fort Collins, CO,https://macelectricco.com/%3Futm_source%3Dgbp%26utm_medium%3Dorganic,+1 970-669-2464,"1208 Poplar St, Johnstown, CO 80534",ChIJjXBdgjhSaYcRBi9-K-vs6KE
