business_name,trade,city,site_url,phone,address,place_id
"Foothills Painting LLC",handyman,Fort Collins, CO,https://foothillspainting.co/,+1 970-847-6991,"1730 S College Ave #305, Fort Collins, CO 80525",ChIJUXTioLS0bocRcoGQAJ455iQ
"Honey Helper",handyman,Fort Collins, CO,https://honeyhelper.com/,+1 970-213-5001,"1305 Duff Dr Ste 1, Fort Collins, CO 80524",ChIJCW5EzX9LaYcRjn6dLKSN62I
"Columbus Tree & Handyman",handyman,Fort Collins, CO,https://sites.google.com/view/columbustreeandhandyman/home,+1 612-715-1097,"2609 Milton Ln, Fort Collins, CO 80524",ChIJxaLN1qh77ocR5C0buu0USg8
"Wee R Handy General Contractors",handyman,Fort Collins, CO,https://weerhandy.com/,+1 970-373-0130,"2629 Redwing Rd #275, Fort Collins, CO 80526",ChIJSchM579zw2ERS77kXUQpygU
"Bison Home Service",handyman,Fort Collins, CO,https://bisonhomeservice.com/,+1 970-430-4070,"2926 E Mulberry St Unit B, Fort Collins, CO 80524",ChIJ83S6y0C1bocRlx_h_R5DJfs
"In & Out Handyman of Northern Colorado",handyman,Fort Collins, CO,https://www.handymanrepaircolorado.com/,+1 970-449-0080,"4821 14th St SW, Loveland, CO 80537",ChIJXeZq2dUdQS0RjE4Mp2qetJg
"Oz Upgrades LLC",handyman,Fort Collins, CO,http://www.ozupgrades.com/,+1 970-690-8255,"4224 Warbler Dr, Fort Collins, CO 80526",ChIJcVd1JpZNaYcRBOCEejhhT0k
"Handyman Hub",handyman,Fort Collins, CO,https://handymanhub.com/,+1 303-427-2955,"6343 W 120th Ave, Broomfield, CO 80020",ChIJwenJEMyJa4cR6UIircytaro
"Boff Construction",handyman,Fort Collins, CO,http://lancewolfconstruction.com/,+1 760-207-4300,"1612 W Mountain Ave, Fort Collins, CO 80521",ChIJvSumr-hLaYcRumKYV3l01CM
"Detailed Building Solutions",handyman,Fort Collins, CO,https://detailedbuildingsolutions.com/,+1 970-231-8348,"2909 Oxford Ct, Fort Collins, CO 80525",ChIJbzgWYWtLaYcRReazX0YeehQ
"NoCo Home Services",handyman,Fort Collins, CO,http://nocohomeservices.com/,+1 970-689-1738,"4021 Cork Dr, Laporte, CO 80535",ChIJv1oKKmM1aYcRep_mUo3MAvQ
"OCD 4 U",handyman,Fort Collins, CO,http://ocd4u.com/,+1 303-834-7266,"1281 E Magnolia St D331, Fort Collins, CO 80524",ChIJx07vFZGh2mwRLRXQLk39KPU
"Ayrans Home Improvement LLC",handyman,Fort Collins, CO,https://ayrans-home-improvement.com/home,+1 970-412-3245,"2216 S College Ave, Fort Collins, CO 80525",ChIJufCpPZnNbocRijU-HiyKHfE
"Tools & Time Home Services",handyman,Fort Collins, CO,https://toolsandtimehomeservices.com/,+1 970-833-9025,"5006 Notley Dr, Windsor, CO 80550",ChIJu-V0vfQ8iCYRugTKCTnNPwc
"Action Restoration & Property Services",handyman,Fort Collins, CO,http://www.actionofnoco.com/,+1 970-402-7980,"3201 E Mulberry St Unit E, Fort Collins, CO 80524",ChIJ02cU1CW1bocR8qgsJdl9qeg
