business_name,trade,city,site_url,phone,address,place_id
"Bone Dry Roofing",roofer,Fort Collins, CO,https://www.bonedry.com/fort-collins/%3Futm_source%3Ddirectories%26utm_medium%3Ddirectories%26utm_id%3DBDR-DIG-DIR-GENI-FC-PHO-GMB-202402-GBPLISTINGFORTCOLLINS,+1 970-557-7619,"1301 E Mulberry St, Fort Collins, CO 80524",ChIJzbAjY4FLaYcRimxofvI3ty0
"Anchor Roofing LLC",roofer,Fort Collins, CO,https://www.anchorroofingllc.com/,+1 970-690-1020,"4691 Concord Ave Unit 1A, Johnstown, CO 80534",ChIJz9uNiUFNaYcR3gSdUOOhTTk
"Tornado Roofing & Gutters",roofer,Fort Collins, CO,https://www.tornadoroofing1.com/,+1 970-581-1453,"1327 Hilltop Cir, Windsor, CO 80550",ChIJ-WiqeAGkbocRdMpPBII81wo
"Schroeder Roofing",roofer,Fort Collins, CO,https://schroederroofing.com/,+1 888-586-7663,"832 W Eisenhower Blvd, Loveland, CO 80537",ChIJE3gZNANTaYcRHNfkc0o2HUo
"CertaPro Painters of Fort Collins",roofer,Fort Collins, CO,https://certapro.com/fort-collins/%3Futm_source%3Dgoogle%26utm_medium%3Dorganic%26utm_campaign%3Dgmb,+1 970-223-8359,"300 Boardwalk Dr Unit 3A, Fort Collins, CO 80525",ChIJ42inpplMaYcRcg29NMeFzcw
"Solstice Roofing",roofer,Fort Collins, CO,https://solsticeroofingco.com/,+1 970-989-2224,"321 Del Clair Rd, Fort Collins, CO 80525",ChIJP0Evy_KLfaMRz2sHyY82wi0
"Trust Roofing & Restoration",roofer,Fort Collins, CO,https://www.trust-roofs.com/,+1 970-999-8778,"1532 E Mulberry St Unit E, Fort Collins, CO 80524",ChIJfZyBDe9LaYcRYHoIcBInZ7s
"Stonescape Steel Roofing & Exteriors",roofer,Fort Collins, CO,https://stonescapesteelroofing.com/,+1 303-823-2365,"3006 E Mulberry St, Fort Collins, CO 80524",ChIJWWQ8PWxgaYcRs0SdJ_kg78Q
"NOCO Roofing",roofer,Fort Collins, CO,http://www.nocoroofing.com/,+1 970-223-7663,"303 W Harmony Rd, Fort Collins, CO 80526",ChIJ2Y_irZNLaYcR9L_qhb-Zmyg
"HERO exteriors",roofer,Fort Collins, CO,https://www.heroexteriors.com/,+1 970-393-3595,"2129 Sage Dr, Fort Collins, CO 80524",ChIJdXPSg5hLaYcRDCqVhsHzEQ0
"Highroad Roofing",roofer,Fort Collins, CO,https://highroadroofing.com/,+1 970-568-7663,"6512 Mayfair Ave, Timnath, CO 80547",ChIJz8hRNL_LbocRITwr8EmFsYc
