business_name,trade,city,site_url,phone,address,place_id
"Firefly Electrical Services",electrician,Lakewood, CO,https://fireflyelectricalservices.com/,+1 720-282-1562,"12860 W Cedar Dr Unit 212, Lakewood, CO 80228",ChIJiUgP7PSDa4cR0DzD95oKoWY
"Next Level Pros",electrician,Lakewood, CO,https://www.nextlevelpros.net/,+1 303-647-7935,"747 Sheridan Blvd Unit 8b, Lakewood, CO 80214",ChIJJT4Lih-Ba4cRpLXzf02ZMOw
"High West Electric",electrician,Lakewood, CO,http://www.highwestelectric.com/,+1 303-335-9323,"9635 W Colfax Ave Ste 302, Lakewood, CO 80215",ChIJw9yPKEWGa4cRHv6VZKX68fY
"SINGLETRACK HOME SERVICES",electrician,Lakewood, CO,http://www.singletrackelectric.com/,+1 303-215-9449,"12929 W 26th Ave #201, Golden, CO 80401",ChIJ26qSJTeEa4cRbxlSpd4JbM4
"Colorado Home Services",electrician,Lakewood, CO,https://cohomeservice.com/,+1 720-340-3202,"1109 N Harlan St, Lakewood, CO 80214",ChIJ7WP34jaHa4cRhKduGAE0ydo
"Red Fox Electric Inc",electrician,Lakewood, CO,https://www.redfoxelectric.com/%3Futm_source%3Dgbp%26utm_medium%3Dorganic,+1 720-520-0812,"877 Wyandot St, Denver, CO 80204",ChIJA_ljX3aBa4cRgsMIKEBNOdQ
"Mac-Vik Plumbing, Heating, and Electrical",electrician,Lakewood, CO,https://macvik.com/,+1 303-279-7971,"13050 W 43rd Dr #100, Golden, CO 80401",ChIJla1V-_KEa4cRq2FzVdxHn8A
"Radon Safety LLC",electrician,Lakewood, CO,https://www.coloradodiscountradonpros.com/%3Futm_source%3Dgoogle%26utm_medium%3Dorganic%26utm_campaign%3Dgmb%26utm_content%3Dwebsite,+1 303-462-5000,"885 Parfet St Ste f, Lakewood, CO 80215",ChIJWe6AMKaGa4cRXlORpvZXViY
"Golden West Plumbing, Heating, Air Conditioning, and Electrical",electrician,Lakewood, CO,https://www.goldenwestph.com/%3Futm_source%3Dgoogle%26utm_medium%3Dorganic%26utm_campaign%3Dgbp,+1 303-529-9771,"4217 Delaware St, Denver, CO 80216",ChIJg1U6I_l4bIcRItUk9Hi71pc
"Sin Jac Electric",electrician,Lakewood, CO,http://www.mysinjac.com/%3Futm_source%3Dgoogle%26utm_medium%3Dwix_google_business_profile%26utm_campaign%3D701213789372149628,+1 303-424-3898,"2600 Pierce St, Wheat Ridge, CO 80214",ChIJvSuXdBuHa4cRinDFG0bC7eA
