business_name,trade,city,site_url,phone,address,place_id
"Blue Spruce Roofing and Exteriors",roofer,Lakewood, CO,https://bluespruceexteriors.com/lakewood-roofing/,+1 720-896-4349,"11504 W Colfax Ave, Lakewood, CO 80215",ChIJ2YBKctyGa4cRDGU75M6Iqqg
"Gates Enterprises LLC",roofer,Lakewood, CO,http://www.gatesroof.com/,+1 720-766-3377,"1445 Holland St, Lakewood, CO 80215",ChIJlbHkfpN_bIcRB1FQ-QR-N7c
"Valor Roof and Solar Inc.",roofer,Lakewood, CO,http://valorroofandsolar.com/,+1 720-650-8347,"12344 W Alameda Pkwy Ste 200, Lakewood, CO 80228",ChIJF6bBOhOAbIcROlvyxFsebuE
"Bold Brothers Roofing",roofer,Lakewood, CO,https://www.boldbrothersroofing.com/,+1 720-999-5797,"1978 S Garrison St #107, Lakewood, CO 80227",ChIJe1ulhvyAa4cRrCJeztgQ48g
"Advocate Roofing",roofer,Lakewood, CO,https://www.advocateroofing.com/,+1 720-923-1533,"500 Corporate Cir Ste C, Golden, CO 80401",ChIJT7pIAol5bIcRtq-yZYlSoq4
"Koala Exteriors",roofer,Lakewood, CO,https://koalaexteriors.com/,+1 303-502-9097,"1425 Brentwood St #5, Lakewood, CO 80214",ChIJU_dJrfp-bIcRFtX3-GkzaGo
"Colorado Preferred Roofing",roofer,Lakewood, CO,https://www.coloradopreferredroofing.com/%3Futm_source%3Dgoogle%26utm_medium%3Dorganic%26utm_campaign%3Dgbp,+1 303-732-8943,"5984 S Prince St #103, Littleton, CO 80120",ChIJa2bSfPeBbIcRLO0G3-QRBxA
"Armour Roofing & Exteriors",roofer,Lakewood, CO,http://www.armourexteriors.com/,+1 303-798-7663,"10901 W Toller Dr Ste 350, unit 315, Littleton, CO 80127",ChIJ-covWDaAbIcR8kOP2NW32GA
"Rise Renovation",roofer,Lakewood, CO,https://riserenovation.com/%3Futm_source%3Dgoogle%26utm_medium%3Dorganic%26utm_campaign%3DGMBListing-Denver-CO,+1 720-295-7451,"13949 W Colfax Ave #250, Lakewood, CO 80401",ChIJ62vJJTK3SKkRWa-HrkGCPnc
"Blue Frog Roofing Limited",roofer,Lakewood, CO,https://bluefrogroofing.com/,+1 970-436-8963,"405 Mountain Vw Rd Unit A, Berthoud, CO 80513",ChIJleDdvpBXaYcRxRxwYcVShQs
"Family Roofing",roofer,Lakewood, CO,http://www.familyroofing.com/,+1 720-329-0009,"12053 W Maryland Dr, Lakewood, CO 80228",ChIJxYgXqHSDa4cRe7aA_rt_Lv4
"Tried and True Roofing",roofer,Lakewood, CO,https://triedandtrueroofing.com/,+1 720-443-1788,"1360 S Wadsworth Blvd suite 105a, Lakewood, CO 80232",ChIJn1Zyh_NvyYcRCb945pYt3Bw
"Evergreen Tile Roofing",roofer,Lakewood, CO,http://www.evergreentileroofing.com/,+1 720-984-0225,"1880 S Pierce St #9, Lakewood, CO 80226",ChIJz2bo4GqZa4cRBQL7Hg4gEHY
"Diligent Roofing, Inc.",roofer,Lakewood, CO,http://diligentroofingco.com/,+1 303-568-9896,"6655 W Jewell Ave Ste 203, Lakewood, CO 80232",ChIJCXQdb5OAa4cRhLop0JzGfG0
"Bonhardt Roof & Trades Co",roofer,Lakewood, CO,https://bonhardtroofs.com/,+1 720-419-4369,"1701 Kipling St Unit 203, Lakewood, CO 80215",ChIJVR97lz6Ba4cRK3nUagIvFv8
"Alpha Power Restoration",roofer,Lakewood, CO,https://www.alphapowerrestoration.com/,+1 720-969-2426,"1074 S Alkire St, Lakewood, CO 80228",ChIJIZaRGDaBa4cR43wEPsQE4rc
"Pinnacle Home Exteriors, LLC.",roofer,Lakewood, CO,https://pinnaclehomeexteriors.com/%3Futm_source%3Dorganic%26utm_medium%3Dgoogle_business_profile%26utm_campaign%3Dgoogle_business_profile,+1 303-806-6700,"9590 W 14th Ave #100, Lakewood, CO 80215",ChIJBd1t6AKBa4cR_86f6BCjcq8
"Modern Roofing Group",roofer,Lakewood, CO,https://modroofgroup.com/,+1 720-613-9927,"8200 Shaffer Pkwy #271047, Littleton, CO 80127",ChIJ4eXXu1p9a4cRXuJPEodZjmU
"Front Range Property Solutions",roofer,Lakewood, CO,https://frontrangepropertysolutions.com/,+1 303-726-2528,"1457 Ammons St Ste 102, Lakewood, CO 80214",ChIJ7y8oD1iHa4cR-GzW7JVg6Us
"Roofing and Renovations Concierge",roofer,Lakewood, CO,https://www.rrc-co.com/,+1 720-660-6701,"1505 Osceola St B, Denver, CO 80204",ChIJ0ZZEnjuHa4cRIGcjFYMkw4M
"Apple Roofing",roofer,Lakewood, CO,https://appleroof.com/lakewood-co/,+1 720-881-0651,"12860 W Cedar Dr #101, Lakewood, CO 80228",ChIJV9uGUbiHa4cRTRXvT1RkBv4
"STR8 UP Roofing & Construction",roofer,Lakewood, CO,https://mystormrepair.com/,+1 800-457-8857,"441 Wadsworth Blvd #225, Lakewood, CO 80226",ChIJvaw2YAWBa4cR16cjTLJpOfw
"Forge & Nail Roofing & Construction",roofer,Lakewood, CO,https://forgennail.com/,+1 720-818-0760,"940 Wadsworth Blvd Unit 203, Lakewood, CO 80214",ChIJPQnvcrCHa4cRcsXTDRD38w0
"Three Pines Roofing",roofer,Lakewood, CO,http://threepinesroofing.com/,+1 303-748-5954,"1375 Kipling St, Lakewood, CO 80215",ChIJ7c7QCwaHa4cRuguWCcpAjXE
"O'Connor Roofing",roofer,Lakewood, CO,http://www.oconnorroofing.com/,+1 303-462-3745,"1457 Ammons St, Lakewood, CO 80214",ChIJMWJjhNuGa4cRnbNm3F8cCOA
"Lakewood exteriors Llc",roofer,Lakewood, CO,http://www.lakewoodexteriors.com/,+1 720-496-7715,"2508 Depew St, Edgewater, CO 80214",ChIJsZpacD-Ha4cRCFVDTaD60xc
