business_name,trade,city,site_url,phone,address,place_id
"Ultimate Heating, Cooling, Plumbing & Electric",electrician,Thornton, CO,https://ultimateheatingandcooling.com/%3Futm_source%3Dgoogle%26utm_medium%3Dorganic%26utm_campaign%3Dgbp,+1 720-306-9245,"4321 Broadway Unit 3, Denver, CO 80216",ChIJ6csqlQx6bIcRNHw3yW85YMI
"QC Colorado",electrician,Thornton, CO,https://qccolorado.com/,+1 720-398-4510,"871 W Thornton Pkwy #135, Thornton, CO 80260",ChIJQ82vjE52bIcRADdRBQNN2ME
"Controlling Systems Heating, AC, and Electrical Repair",electrician,Thornton, CO,https://www.controllingsystemsco.com/%3Futm_source%3DGBP%26utm_medium%3Dorganic,+1 720-802-2938,"7000 N Broadway #1-106, Denver, CO 80221",ChIJu89JIYJ3bIcR24lF6b37iqo
"Red Diamond Electric",electrician,Thornton, CO,http://reddiamondelectric.com/,+1 720-456-9975,"11670 Milwaukee St, Thornton, CO 80233",ChIJ80dBMKHLWWUR4Y0t_ZEXFtY
"Professional Power",electrician,Thornton, CO,https://propowercolorado.com/%3Futm_source%3Dwestminster_gbp%26utm_medium%3Dorganic,+1 720-909-7484,"1341 W 121st Ave, Westminster, CO 80234",ChIJ3YaEw8x1bIcR67qKrgS3rDI
"All Climate Systems Heating & Cooling",electrician,Thornton, CO,https://www.allclimatesystems.net/,+1 303-280-6222,"12295 Pennsylvania St #2b, Thornton, CO 80241",ChIJ_a-MBDZ0bIcRG7sqlWARWl4
"Grounded Electric, LLC",electrician,Thornton, CO,http://www.cogroundedelectric.com/,+1 720-435-0199,"3590 E 122nd Ave, Thornton, CO 80241",ChIJaa_gaMNZNIMR0OkDEtrIPVU
"Infiniti Electric",electrician,Thornton, CO,https://www.infinitielectricco.com/,+1 720-573-8822,"13333 E 108th Ave, Commerce City, CO 80022",ChIJI4PtOqNvbIcRY58BBuYK1jE
"GC Electric",electrician,Thornton, CO,http://gcelectricco.com/,+1 720-222-9619,"7205 Gilpin Way #100, Denver, CO 80229",ChIJo5W-zByHa4cRZwMURPRxDhQ
"Mountain Shadows Electrical",electrician,Thornton, CO,http://mountainshadowselectrical.com/,+1 720-434-4090,"11051 Kendall Way, Westminster, CO 80020",ChIJCaWFki-Ka4cRLpp9M4D7_1U
"Thornton Electric",electrician,Thornton, CO,https://thorntonelectric.co/,+1 720-499-0880,"12061 Pennsylvania St suite a-105, Thornton, CO 80241",ChIJ0xUjKrt1bIcRCCCbc6s2ytA
"Toro Electric",electrician,Thornton, CO,https://toro-electric.com/,+1 303-802-5347,"1400 E 66th Ave #3, Denver, CO 80229",ChIJa0XVos55bIcRTPsyNfgo3u0
"Midway Electric, Inc.",electrician,Thornton, CO,http://midwaycoelectric.com/,+1 720-788-2310,"5090 W 98th Ct, Westminster, CO 80031",ChIJ___bbuyJa4cRYq3wo7J29k8
"FSG Denver",electrician,Thornton, CO,https://fsg.com/locations/denver/%3Futm_source%3Dgoogle%26utm_medium%3Dgbp%26utm_campaign%3Ddenver,+1 303-295-1800,"555 W 48th Ave # A, Denver, CO 80216",ChIJ-RreFkN4bIcRowws04QCX6s
"IECRM | Independent Electrical Contractors Rocky Mountain",electrician,Thornton, CO,https://iecrm.org/%3Futm_source%3D2060digital%26utm_medium%3Dlocalseo%26utm_campaign%3Dgbp,+1 303-853-4886,"11429 Pearl St, Northglenn, CO 80233",ChIJqU_l4St0bIcRpINPJaKFLPs
